Date,vader_score
2009-04-06,0.14012767857142858
2009-04-07,0.15638941135694065
2009-04-08,0.1659278047499415
2009-04-09,0.190747580995479
2009-04-10,0.1824178264056132
2009-04-11,0.1824178264056132
2009-04-12,0.1480488314466816
2009-04-13,0.14765025500631335
2009-04-14,0.14765025500631335
2009-04-15,0.1621651769631702
2009-04-16,0.18062910217744543
2009-04-17,0.19493738651102466
2009-04-18,0.17363047255677116
2009-04-19,0.17716288543448977
2009-04-20,0.1659687323943662
2009-04-21,0.16960426225689998
2009-04-22,0.18029971008120632
2009-04-23,0.19206769729595158
2009-04-24,0.18181952662721895
2009-04-25,0.16864621195817472
2009-04-26,0.16864621195817472
2009-04-27,0.1527898768156204
2009-04-28,0.17792109208546092
2009-04-29,0.17792109208546092
2009-04-30,0.18498584896223483
2009-05-01,0.1692094867807154
2009-05-02,0.17365242035430487
2009-05-03,0.16537907621770015
2009-05-04,0.15939729345649506
2009-05-05,0.1673665390644798
2009-05-06,0.15679448284386466
2009-05-07,0.16574612394520616
2009-05-08,0.17528451733820702
2009-05-09,0.17546619814294234
2009-05-10,0.20602896384801567
2009-05-11,0.1588066889632107
2009-05-12,0.1480488314466816
2009-05-13,0.1372909739301525
2009-05-14,0.15800953608247423
2009-05-15,0.15847353540535297
2009-05-16,0.16632081784386618
2009-05-17,0.1944730188773223
2009-05-18,0.18060393759083057
2009-05-19,0.06572435612850133
2009-05-20,0.0623819876591353
2009-05-21,0.17254648217636023
2009-05-22,0.19099515790551264
2009-05-23,0.19314023668639055
2009-05-24,0.18181952662721895
2009-05-25,0.17049881656804733
2009-05-26,0.16679360734830212
2009-05-27,0.12654839476813318
2009-05-28,0.1790313588631076
2009-05-29,0.17681082530781422
2009-05-30,0.18409232104791026
2009-05-31,0.1858793768765594
2009-06-01,0.16583665427509292
2009-06-02,0.1674057234546361
2009-06-03,0.16535277964797537
2009-06-04,0.15254543483805152
2009-06-05,0.17533578467246455
2009-06-06,0.17346128711630074
2009-06-07,0.1751028365334717
2009-06-08,0.17528451733820702
2009-06-09,0.190747580995479
2009-06-10,0.1824178264056132
2009-06-11,0.1824178264056132
2009-06-12,0.1480488314466816
2009-06-13,0.15159801960530836
2009-06-14,0.16590506528046423
2009-06-15,0.1589375347282317
2009-06-16,0.07418197411003236
2009-06-17,-0.05247023539034809
2009-06-18,-0.05479917682076086
2009-06-19,-0.0491552253338279
2009-06-20,-0.04120475707609558
2009-06-21,-0.02880635696821516
2009-06-22,-0.06818292114247648
2009-06-23,-0.05667166215739325
2009-06-24,-0.0487453564057787
2009-06-25,-0.05860717477404285
